Sample_ID,Alisertib,Arsenic Trioxide,Axitinib,Azacitidine,Dasatinib,Doramapimod,Foretinib,GW-2580,Idelalisib,KI20227,Linifanib,Midostaurin,Motesanib,NVP-TAE684,Pazopanib,Quizartinib,Ruxolitinib,Sorafenib,Sunitinib,Vemurafenib,NF-kB Activation Inhibitor,Cabozantinib,Crizotinib,Cytarabine,Entospletinib,Ibrutinib,JQ1,Nutlin-3,Palbociclib,Panobinostat,Trametinib,Vandetanib,Venetoclax,Artemisinin,AT 101,Birabresib,Birinapant,Bortezomib,GSK2879552,Olaparib,AGI combo,Bosutinib,Nintedanib,Sirolimus,Vatalanib,Vismodegib,PH-797804,AZD5991,Dordaviprone,Telaglenastat,Decitabine
S419,0.362,,,,0.674,0.622,,,0.0,,,,,,,0.766,0.391,0.679,,0.626,,0.79,0.627,0.358,0.818,0.416,0.262,0.0,0.746,0.062,0.414,0.452,0.824,0.416,,,,,,,,,,,,,,,,,
C234,0.106,,,,0.647,0.266,,,0.676,,,,,,,0.753,0.398,0.484,,0.476,,0.562,0.678,0.478,0.628,0.7,0.458,0.118,0.81,0.0,0.198,0.61,0.804,0.0,,,,,,,,,,,,,,,,,
S420,0.214,,,,0.563,0.344,,,0.215,,,,,,,0.898,0.123,0.626,,0.005,,0.81,0.133,0.338,0.482,0.342,0.3,0.234,0.448,0.51,0.576,0.212,0.792,0.0,,,,,,,,,,,,,,,,,
C237,0.03,,,,0.029,0.46,,,0.154,,,,,,,0.219,0.413,0.149,,0.001,,0.044,0.147,0.268,0.184,,0.456,0.166,0.334,,0.506,0.126,0.83,0.0,,,,,,,,,,,,,,,,,
S421,0.13,,,,0.275,0.366,,,0.16,,,,,,,0.341,0.209,0.109,,0.0,,0.202,0.162,0.142,0.218,0.06,0.322,0.058,0.064,0.912,0.214,0.0,0.164,0.0,,,,,,,,,,,,,,,,,
S422,0.024,,,,0.11,0.428,,,0.0,,,,,,,0.399,0.425,0.076,,0.0,,0.222,0.177,0.278,0.126,0.026,0.35,0.0,0.068,0.876,0.492,0.034,0.226,0.0,,,,,,,,,,,,,,,,,
C242,0.5,,,,0.433,0.456,,,0.363,,,,,,,0.576,0.358,0.381,,0.092,,0.462,0.369,0.268,0.276,0.266,0.518,0.064,0.068,0.708,0.408,0.324,0.096,0.0,,,,,,,,,,,,,,,,,
C240,0.012,,,,0.102,0.432,,,0.316,,,,,,,0.375,0.1,0.094,,0.0,,0.212,0.106,0.124,0.124,0.134,0.336,0.0,0.016,0.93,0.864,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
S423,0.508,,,,0.174,0.364,,,0.252,,,,,,,0.146,0.081,0.48,,0.0,,0.218,0.3,0.264,0.132,0.17,0.37,0.0,0.154,0.886,0.864,0.0,0.278,0.0,,,,,,,,,,,,,,,,,
S424,0.156,,,,0.511,0.568,,,0.263,,,,,,,0.386,0.16,0.452,,0.045,,0.43,0.378,0.348,0.232,0.268,0.298,0.166,0.14,0.808,0.524,0.218,0.286,0.084,,,,,,,,,,,,,,,,,
S425,0.032,,,,0.0,0.416,,,0.031,,,,,,,0.04,0.398,0.066,,0.0,,0.006,0.048,0.56,0.012,0.0,0.438,0.194,0.0,0.902,0.928,0.0,0.142,0.0,,,,,,,,,,,,,,,,,
C245,0.148,,,,0.432,0.494,,,0.264,,,,,,,0.548,0.138,0.191,,0.0,,0.302,0.261,0.174,0.314,0.206,0.496,0.06,0.004,0.87,0.672,0.074,0.0,0.036,,,,,,,,,,,,,,,,,
S426,0.136,,,,0.649,0.824,,,0.457,,,,,,,0.709,0.233,0.524,,0.039,,0.608,0.394,0.22,0.358,0.424,0.606,0.272,0.242,0.882,0.752,0.364,0.304,0.088,,,,,,,,,,,,,,,,,
S427,0.158,,,,0.516,0.774,,,0.37,,,,,,,0.258,0.528,0.357,,0.0,,0.53,0.553,0.158,0.0,0.468,0.0,0.0,0.09,0.9,0.674,0.276,0.174,0.29,,,,,,,,,,,,,,,,,
C248,0.216,,,,0.609,0.172,,,0.204,,,,,,,0.94,0.292,0.928,,0.033,,0.954,0.606,0.344,0.47,0.368,0.322,0.154,0.254,0.336,0.484,0.422,0.954,0.0,,,,,,,,,,,,,,,,,
S430,0.18,,,,0.516,0.496,,,0.22,,,,,,,0.603,0.271,0.421,,0.102,,0.54,0.332,0.212,0.298,0.304,0.54,0.166,0.164,0.874,0.566,0.316,0.472,0.0,,,,,,,,,,,,,,,,,
C292,0.056,,,,0.818,0.446,,,0.185,,,,,,,0.485,0.074,0.332,,0.027,,0.416,0.313,0.39,0.182,0.3,0.568,0.122,0.092,0.928,0.862,0.08,0.118,0.0,,,,,,,,,,,,,,,,,
S431,0.004,,,,0.14,0.0,,,0.466,,,,,,,0.743,0.061,0.485,,0.035,,0.6,0.173,0.206,0.246,0.212,0.278,0.144,0.292,0.826,0.162,0.14,0.49,0.0,,,,,,,,,,,,,,,,,
S432,0.606,,,,0.57,0.954,,,0.791,,,,,,,0.851,0.17,0.916,,0.547,,,0.954,0.184,,0.32,0.412,0.054,0.27,0.276,0.896,0.954,0.854,0.954,,,,,,,,,,,,,,,,,
S433,0.04,,,,0.558,0.478,,,0.254,,,,,,,0.569,0.282,0.235,,0.002,,0.334,0.108,0.214,0.254,0.06,0.512,0.336,0.15,0.91,0.746,0.08,0.196,0.0,,,,,,,,,,,,,,,,,
S434,0.052,,,,0.756,0.522,,,0.372,,,,,,,0.69,0.208,0.42,,0.0,,0.52,0.459,0.088,0.328,0.086,0.472,0.04,0.0,0.934,0.776,0.2,0.152,0.012,,,,,,,,,,,,,,,,,
C258,,,,,0.612,0.424,,,0.002,,,,,,,0.5,0.456,0.396,,0.148,,0.4,0.537,0.362,0.308,0.246,0.658,0.14,0.47,0.954,0.444,0.336,0.954,0.0,,,,,,,,,,,,,,,,,
S435,0.108,,,,0.221,0.42,,,0.181,,,,,,,0.546,0.056,0.17,,0.0,,0.108,0.043,0.178,0.17,0.07,0.402,0.05,0.286,,0.182,0.15,0.756,0.0,,,,,,,,,,,,,,,,,
S436,0.066,,,,0.207,0.404,,,0.127,,,,,,,0.42,0.009,0.102,,0.0,,0.14,0.187,0.024,0.084,0.112,0.386,0.0,0.016,0.724,0.172,0.108,0.266,0.0,,,,,,,,,,,,,,,,,
S437,0.056,,,,0.592,0.664,,,0.48,,,,,,,0.136,0.268,0.235,,0.17,,0.214,0.329,0.338,0.638,0.434,0.482,0.112,0.14,0.846,0.87,0.074,0.27,0.0,,,,,,,,,,,,,,,,,
S438,0.25,,,,0.729,0.826,,,0.458,,,,,,,0.248,0.345,0.42,,0.092,,0.624,0.423,0.228,0.476,0.314,0.602,0.0,0.15,0.756,0.85,0.028,0.132,0.104,,,,,,,,,,,,,,,,,
C262,0.282,,,,0.754,0.884,,,0.482,,,,,,,0.658,0.428,0.324,,0.154,,0.48,0.26,0.27,0.482,0.424,0.704,0.0,0.218,0.854,0.706,0.0,0.202,0.0,,,,,,,,,,,,,,,,,
S439,0.182,,,,0.638,0.794,,,0.228,,,,,,,0.455,0.287,0.28,,0.0,,0.516,0.046,0.186,0.37,0.34,0.552,0.048,0.0,0.94,0.824,0.158,0.188,0.014,,,,,,,,,,,,,,,,,
C266,0.29,,,,0.729,0.288,,,0.584,,,,,,,0.476,0.528,0.318,,0.137,,0.73,0.361,0.33,0.888,0.374,0.496,0.196,0.056,0.8,0.15,0.224,0.0,0.016,,,,,,,,,,,,,,,,,
S440,0.176,,,,0.838,0.328,,,0.404,,,,,,,0.798,0.247,0.375,,0.0,,0.452,0.364,0.242,0.378,0.44,0.376,0.048,0.09,0.668,,0.212,0.08,0.0,,,,,,,,,,,,,,,,,
S441,0.21,,,,0.522,0.224,,,0.09,,,,,,,0.877,0.207,0.82,,0.044,,0.818,0.296,0.578,0.554,0.614,0.904,0.672,0.746,,0.4,0.304,0.954,0.0,,,,,,,,,,,,,,,,,
S600,0.038,,,,0.522,0.61,,,0.452,,,,,,,0.608,0.235,0.26,,0.0,,0.408,0.268,0.206,0.57,0.524,0.662,0.0,0.222,0.832,0.596,0.208,0.168,0.0,,,,,,,,,,,,,,,,,
S443,,,,0.0,,0.89,,0.098,0.681,,,,,,,0.514,0.228,,,,,,,,,0.658,,,0.15,,0.796,,0.234,,0.08,0.696,0.332,0.608,0.0,0.0,,,,,,,0.72,,,,
S601,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,,,,,,,0.198,,,,,,,,,,,,,,0.56,,,,
S444,,,,,,,,,,,,,,,,,,,,,,,,,,0.552,,,,,,,0.378,0.306,,,,,,,,,,,,,,,,,
S446,0.118,,,,0.436,0.408,,,0.249,,,,,,,0.616,0.25,0.38,,0.038,,0.254,0.233,0.624,0.336,0.272,0.5,0.288,0.252,0.662,0.432,0.216,0.954,0.0,,,,,,,,,,,,,,,,,
S447,0.274,,,,0.263,0.228,,,0.197,,,,,,,0.769,0.247,0.359,,0.0,,0.442,0.374,0.556,0.446,0.23,0.62,0.456,0.554,0.0,0.6,0.394,0.954,0.37,,,,,,,,,,,,,,,,,
S448,0.168,,,,0.088,0.192,,,0.18,,,,,,,0.46,0.062,0.199,,0.0,,0.102,0.068,0.222,0.108,0.086,0.384,0.0,0.026,0.77,0.75,0.134,0.432,0.0,,,,,,,,,,,,,,,,,
S449,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,0.408,0.0,,,,,,,,,,,,,,,,,
S450,0.432,,,,0.526,0.546,,,0.3,,,,,,,0.523,0.115,0.145,,0.035,,0.238,0.355,0.352,0.216,0.282,0.538,0.052,0.168,0.29,0.56,0.252,0.38,0.222,,,,,,,,,,,,,,,,,
S451,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,0.902,0.204,,,,,,,,,,,,,,,,,
C277,0.036,,,,0.078,0.252,,,0.259,,,,,,,0.411,0.0,0.127,,0.0,,0.28,0.008,0.446,0.118,0.046,0.302,0.376,0.162,0.62,0.636,0.0,0.898,0.092,,,,,,,,,,,,,,,,,
S452,0.0,,,,0.213,0.25,,,0.065,,,,,,,0.487,0.019,0.316,,0.044,,0.254,0.074,0.23,0.192,0.078,0.238,0.218,0.154,0.0,0.232,0.258,0.842,0.0,,,,,,,,,,,,,,,,,
S453,0.008,,,,0.154,0.49,,,0.467,,,,,,,0.302,0.121,0.205,,0.0,,0.398,0.118,0.31,0.33,,0.398,0.0,0.09,0.936,0.836,0.038,0.1,0.0,,,,,,,,,,,,,,,,,
C280,0.014,,,,0.293,0.586,,,0.488,,,,,,,0.355,0.21,0.297,,0.0,,0.32,0.155,0.398,0.44,0.292,0.166,0.116,0.06,0.836,0.768,0.0,0.184,0.0,,,,,,,,,,,,,,,,,
S454,0.0,,,,0.004,0.0,,,0.453,,,,,,,0.303,0.422,0.21,,0.0,,0.178,0.08,0.202,0.14,0.6,0.0,0.0,0.286,0.846,0.816,0.056,0.154,0.0,,,,,,,,,,,,,,,,,
S455,,,,0.0,,0.0,,0.179,0.301,,,,,,,0.201,0.107,,,,,,,,,0.0,,,0.122,,0.726,,0.412,0.0,0.102,0.558,0.868,0.466,0.0,0.0,,,,,,,,,,,
C281,0.208,,,,0.252,0.304,,,0.199,,,,,,,0.442,0.209,0.309,,0.009,,0.226,0.179,0.234,0.172,0.052,0.588,0.0,0.018,0.856,0.182,0.21,0.716,0.0,,,,,,,,,,,,,,,,,
S456,0.196,,,,0.845,0.734,,,0.68,,,,,,,0.757,0.389,0.368,,0.04,,0.746,0.472,0.596,0.568,0.348,0.67,0.16,0.0,0.906,0.67,0.432,0.398,0.0,,,,,,,,,,,,,,,,,
C283,0.05,,,,0.624,0.764,,,0.349,,,,,,,0.565,0.195,0.229,,0.02,,0.584,0.323,0.304,0.364,0.176,0.64,0.236,0.118,0.856,0.414,0.332,0.546,0.0,,,,,,,,,,,,,,,,,
C596,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,,,,,,,0.042,0.624,,,,,,,,,,,,,,,,,
S602,0.37,,,,0.675,0.686,,,0.509,,,,,,,0.449,0.425,0.569,,0.0,,0.558,0.444,0.322,0.452,0.186,0.506,0.0,0.0,0.916,0.686,0.35,0.308,0.218,,,,,,,,,,,,,,,,,
S457,0.13,,,,0.101,0.024,,,0.042,,,,,,,0.383,0.168,0.162,,0.0,,0.462,0.21,0.588,0.626,0.246,0.328,0.424,0.22,0.0,0.304,0.0,0.776,0.0,,,,,,,,,,,,,,,,,
S458,,,,,0.669,0.602,,,0.256,,,,,,,0.529,0.261,0.221,,0.053,,0.3,0.267,0.4,0.552,0.268,0.474,0.068,0.062,0.882,0.782,0.164,0.072,0.01,,,,,,,,,,,,,,,,,
S459,0.16,,,,0.199,0.216,,,0.186,,,,,,,0.525,0.159,0.13,,0.0,,0.238,0.169,0.236,0.354,0.268,0.364,0.072,0.126,,0.258,0.026,0.388,0.0,,,,,,,,,,,,,,,,,
C286,0.172,,,,0.329,0.352,,,0.249,,,,,,,0.423,0.272,0.218,,0.0,,0.334,0.321,0.328,0.42,0.356,0.44,0.0,0.15,0.844,0.39,0.0,0.386,0.0,,,,,,,,,,,,,,,,,
S460,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,0.716,0.086,,,,,,,,,,,,,,,,,
S461,0.21,,,,0.692,0.324,,,0.294,,,,,,,0.432,0.119,0.227,,0.0,,0.398,0.273,0.178,0.304,0.166,0.364,0.0,0.0,0.864,0.776,0.032,0.024,0.0,,,,,,,,,,,,,,,,,
C291,0.088,,,,0.375,0.684,,,0.313,,,,,,,0.479,0.143,0.096,,0.0,,0.286,0.101,0.262,0.466,0.07,0.478,0.018,0.05,0.934,0.846,0.056,0.096,0.0,,,,,,,,,,,,,,,,,
C546,,,,,,,,,,,,,,,,,,,,,,,,,,0.142,,,,,,,0.174,0.0,,,,,,,,,,,,,,,,,
C296,0.334,,,,0.734,0.448,,,0.266,,,,,,,0.631,0.448,0.323,,0.14,,0.854,0.501,0.322,0.92,0.44,0.496,0.064,0.0,0.254,0.814,0.006,0.222,0.0,,,,,,,,,,,,,,,,,
S464,0.0,,,,0.156,0.0,,,0.197,,,,,,,0.283,0.163,0.167,,0.053,,0.34,0.076,0.548,0.358,0.13,0.454,0.386,0.034,0.938,0.22,0.0,0.59,0.0,,,,,,,,,,,,,,,,,
S465,0.196,,,,0.123,0.376,,,0.164,,,,,,,0.192,0.552,0.145,,0.008,,0.086,0.14,0.55,0.088,0.01,0.5,0.234,0.094,0.954,0.954,0.0,0.048,0.0,,,,,,,,,,,,,,,,,
C294,0.018,,,,0.157,0.494,,,0.2,,,,,,,0.53,0.081,0.219,,0.758,,0.238,0.215,0.338,0.182,0.308,0.402,0.0,0.046,0.942,0.93,0.096,0.01,0.0,,,,,,,,,,,,,,,,,
S466,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,,,,,,,0.05,0.0,,,,,,,,,,,,,,,,,
S467,0.502,,,,0.872,0.954,,,0.4,,,,,,,0.853,0.529,0.638,,0.0,,0.634,0.518,0.334,0.638,0.058,0.56,0.042,0.282,0.0,0.906,0.65,0.276,0.394,,,,,,,,,,,,,,,,,
C422,,,,0.0,0.049,0.236,,0.232,0.123,,,,,,,0.386,0.03,,,,,,,,,0.136,,,0.104,,0.0,,0.924,,,0.33,0.262,0.592,,0.0,,,,,,,0.334,0.852,0.238,0.076,
S469,0.406,,,,0.7,0.198,,,0.477,,,,,,,0.627,0.305,0.156,,0.155,,0.408,0.373,0.186,0.612,0.39,0.532,0.014,0.11,0.872,0.892,0.104,0.954,0.062,,,,,,,,,,,,,,,,,
S470,0.124,,,,0.459,0.582,,,0.456,,,,,,,0.467,0.384,0.177,,0.043,,0.262,0.161,0.23,0.344,0.148,0.5,0.178,0.0,0.942,0.832,0.088,0.052,0.0,,,,,,,,,,,,,,,,,
S472,0.134,,,,0.54,0.618,,,0.435,,,,,,,0.569,0.172,0.336,,0.072,,0.676,0.293,0.238,0.334,0.232,0.494,0.084,0.062,0.56,0.678,0.128,0.164,0.0,,,,,,,,,,,,,,,,,
S473,0.248,,,,0.361,0.312,,,0.147,,,,,,,0.854,0.265,0.693,,0.012,,0.834,0.344,0.408,0.526,0.424,0.544,0.27,0.196,0.526,0.684,0.194,0.88,0.0,,,,,,,,,,,,,,,,,
S474,,,,,,,,,,,,,,,,,,,,,,,,,,0.278,,,,,,,0.522,0.088,,,,,,,,,,,,,,,,,
C567,,,,,,,,,,,,,,,,,,,,,,,,,,0.336,,,,,,,0.316,0.0,,,,,,,,,,,,,,,,,
C549,,,,,,,,,,,,,,,,,,,,,,,,,,0.452,,,,,,,0.074,0.0,,,,,,,,,,,,,,,,,
S475,0.056,,,,0.558,0.422,,,0.163,,,,,,,0.616,0.279,0.545,,0.329,,0.418,0.448,0.252,0.496,0.484,0.646,0.266,0.254,0.926,0.524,0.16,0.5,0.0,,,,,,,,,,,,,,,,,
C550,,,,,,,,,,,,,,,,,,,,,,,,,,0.166,,,,,,,0.954,0.0,,,,,,,,,,,,,,,,,
C304,0.232,,,,0.584,0.602,,,0.434,,,,,,,0.6,0.403,0.355,,0.435,,0.568,0.279,0.322,0.458,0.564,0.458,0.038,0.0,0.926,0.852,0.548,0.054,0.116,,,,,,,,,,,,,,,,,
S477,0.066,,,,0.628,0.356,,,0.446,,,,,,,0.826,0.226,0.626,,0.0,,0.67,0.279,0.238,0.362,0.216,0.332,0.194,0.352,0.66,0.618,0.372,0.844,0.16,,,,,,,,,,,,,,,,,
S478,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,0.296,0.0,,,,,,,,,,,,,,,,,
S479,0.198,,,,0.47,0.77,,,0.306,,,,,,,0.356,0.373,0.339,,0.114,,0.336,0.305,0.434,0.486,0.314,0.456,0.082,0.014,0.952,0.816,0.036,0.0,0.0,,,,,,,,,,,,,,,,,
S480,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,0.0,0.026,,,,,,,,,,,,,,,,,
S481,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,,,,,,,0.732,0.304,,,,,,,,,,,,,,,,,
S482,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,0.178,0.162,,,,,,,,,,,,,,,,,
S483,0.0,,,,0.059,0.054,,,0.437,,,,,,,0.188,0.315,0.216,,0.321,,0.954,0.762,0.606,0.868,0.906,0.138,0.824,0.0,0.954,0.29,0.064,,0.0,,,,,,,,,,,,,,,,,
C555,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,0.884,0.1,,,,,,,,,,,,,,,,,
C556,,,,,,,,,,,,,,,,,,,,,,,,,,0.418,,,,,,,0.174,0.0,,,,,,,,,,,,,,,,,
S485,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,,,,,,,0.76,0.0,,,,,,,,,,,,,,,,,
S486,,,,,,,,,,,,,,,,,,,,,,,,,,0.288,,,,,,,0.36,0.462,,,,,,,,,,,,,,,,,
S487,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.124,0.0,,,,,,,,,,,,,,,,,
S488,,,,,,,,,,,,,,,,,,,,,,,,,,0.724,,,,,,,0.186,0.0,,,,,,,,,,,,,,,,,
C561,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,,,,,,0.312,0.0,,,,,,,,,,,,,,,,,
C562,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,,,,,,0.266,0.0,,,,,,,,,,,,,,,,,
S489,,,,,,,,,,,,,,,,,,,,,,,,,,0.466,,,,,,,0.122,0.248,,,,,,,,,,,,,,,,,
C564,,,,,,,,,,,,,,,,,,,,,,,,,,0.236,,,,,,,0.0,0.462,,,,,,,,,,,,,,,,,
S490,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,,,,,0.594,0.0,,,,,,,,,,,,,,,,,
S491,,,,,,,,,,,,,,,,,,,,,,,,,,0.428,,,,,,,0.358,0.28,,,,,,,,,,,,,,,,,
S492,,,,,,0.44,,0.471,0.192,,,,,,,0.855,0.302,,,,,,,,,0.954,,,0.378,,0.496,,0.638,0.256,0.348,0.386,0.442,0.454,0.0,0.0,,,,,,,,,,,
S493,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,0.5,0.656,,,,,,,,,,,,,,,,,
C310,,,,0.042,,0.37,,0.139,0.355,,,,,,,0.293,0.02,,,,,,,,,0.0,,,0.0,,0.894,,0.214,0.0,0.184,0.656,0.656,0.652,0.072,0.0,,,,,,,,,,,
S603,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.162,0.0,,,,,,,,,,,,,,,,,
S494,,,,0.218,,0.492,,0.365,0.167,,,,,,,0.415,0.32,,,,,,,,,0.158,,,0.058,,0.394,,0.32,0.124,0.076,0.386,0.404,0.4,0.0,0.012,,,,,,,,,,,
S495,,,,0.0,,0.0,,0.0,0.375,,,,,,,0.0,0.051,,,,,,,,,0.0,,,0.0,,0.744,,0.522,0.0,,0.376,0.832,0.608,0.364,0.292,,,,,,,,,,,
S496,,,,0.0,,0.676,,0.396,0.384,,,,,,,0.529,0.242,,,,,,,,,0.676,,,0.0,,0.918,,0.04,0.0,0.054,0.798,0.642,0.818,0.05,0.0,,,,,,,,,,,
C315,,,,0.0,,0.642,,0.198,0.397,,,,,,,0.445,0.453,,,,,,,,,0.398,,,0.152,,0.936,,0.05,0.0,0.002,0.714,0.356,0.742,0.0,0.0,,,,,,,,,,,
S497,,,,0.056,,0.222,,0.06,0.287,,,,,,,0.436,0.166,,,,,,,,,0.298,,,0.274,,0.012,,0.584,0.006,0.078,0.508,0.32,0.338,0.0,0.0,,,,,,,,,,,
S498,,,,0.138,,0.36,,0.561,0.274,,,,,,,0.483,0.324,,,,,,,,,0.35,,,0.426,,0.382,,0.806,0.0,,0.296,0.436,0.522,0.19,0.0,,,,,,,,,,,
S500,,,,0.0,,0.14,,0.097,0.288,,,,,,,0.562,0.133,,,,,,,,,0.27,,,0.162,,0.246,,0.736,0.0,0.246,0.55,0.336,0.572,0.474,0.0,,,,,,,,,,,
C321,,,,0.198,,0.49,,0.392,0.263,,,,,,,0.444,0.245,,,,,,,,,0.354,,,0.124,,0.616,,0.32,0.07,0.186,0.582,0.562,0.504,0.0,0.122,,,,,,,,,,,
S501,,,,0.222,,0.368,,0.266,0.209,,,,,,,0.191,0.183,,,,,,,,,0.224,,,0.186,,0.528,,0.092,0.002,0.21,0.518,0.378,0.466,0.016,0.0,,,,,,,,,,,
S502,,,,0.0,,0.59,,0.172,0.353,,,,,,,0.554,0.124,,,,,,,,,0.21,,,0.088,,0.076,,0.25,0.256,0.092,0.328,0.578,0.512,0.0,0.0,,,,,,,,,,,
S503,,,,0.0,,0.892,,0.7,0.771,,,,,,,0.283,0.204,,,,,,,,,0.26,,,0.17,,0.562,,0.0,0.0,0.4,0.706,0.646,0.954,0.076,0.158,,,,,,,,,,,
S504,,,,0.0,,0.0,,0.16,0.394,,,,,,,0.362,0.063,,,,,,,,,0.022,,,0.058,,0.51,,0.422,0.0,0.218,0.582,0.67,0.334,0.0,0.166,,,,,,,,,,,
C324,,,,0.128,,0.112,,0.271,0.504,,,,,,,0.433,0.19,,,,,,,,,0.264,,,0.138,,0.59,,0.582,0.004,0.144,0.68,0.722,0.35,0.082,0.0,,,,,,,,,,,
S505,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,,,,,0.374,0.07,,,,,,,,,,,,,,,,,
S506,,,,0.184,,0.416,,0.263,0.157,,,,,,,0.554,0.279,,,,,,,,,0.248,,,0.166,,0.27,,0.954,0.292,0.0,0.096,0.358,0.098,0.0,0.012,,,,,,,,,,,
S507,,,,0.226,,0.31,,0.278,0.27,,,,,,,0.705,0.25,,,,,,,,,0.344,,,0.166,,0.51,,0.832,0.0,0.362,0.378,0.476,0.564,0.312,0.174,,,,,,,,,,,
S606,,,,,,,,,,,,,,,,,,,,,,,,,,0.502,,,,,,,0.432,0.088,,,,,,,,,,,,,,,,,
S607,,,,0.0,,0.252,,0.021,0.219,,,,,,,0.614,0.073,,,,,,,,,0.092,,,0.0,,0.048,,0.132,0.0,0.19,0.362,0.71,0.462,0.0,0.0,,,,,,,,,,,
C328,,,,0.0,,0.326,,0.095,0.307,,,,,,,0.632,0.293,,,,,,,,,0.276,,,0.108,,0.184,,0.186,0.0,,0.49,0.8,0.432,0.0,0.0,,,,,,,,,,,
S509,,,,0.098,,0.368,,0.45,0.589,,,,,,,0.543,0.343,,,,,,,,,0.318,,,0.114,,0.946,,0.18,0.0,0.268,0.674,0.748,0.63,0.1,0.0,,,,,,,,,,,
S510,,,,0.154,,0.258,,0.149,0.118,,,,,,,0.438,0.296,,,,,,,,,0.278,,,0.186,,0.352,,0.592,0.0,0.266,0.586,0.542,0.546,0.0,0.0,,,,,,,,,,,
S511,,,,0.208,,0.476,,0.411,0.331,,,,,,,0.608,0.322,,,,,,,,,0.304,,,0.334,,0.67,,0.788,0.158,0.216,0.71,0.774,0.424,0.0,0.028,,,,,,,,,,,
S512,,,,,,,,,,,,,,,,,,,,,,,,,,0.696,,,,,,,0.526,0.63,,,,,,,,,,,,,,,,,
S513,,,,0.0,,0.552,,0.242,0.373,,,,,,,0.408,0.066,,,,,,,,,0.294,,,,,0.954,,0.782,,0.118,0.792,0.418,0.672,0.092,0.0,,,,,,,0.648,,,,
C577,,,,,,,,,,,,,,,,,,,,,,,,,,0.218,,,,,,,0.662,,,,,,,,,,,,,,0.666,,,,
C372,,,,0.0,,0.574,,0.192,0.502,,,,,,,0.378,0.234,,,,,,,,,0.284,,,0.2,,0.924,,0.554,,0.086,0.832,0.152,0.516,0.058,0.22,,,,,,,0.64,,,,
S514,,,,0.0,,0.192,,0.064,0.002,,,,,,,0.425,0.202,,,,,,,,,0.244,,,0.222,,0.254,,0.888,0.03,0.232,0.252,0.222,0.338,0.216,0.0,,,,,,,,,,,
C335,,,,0.006,,0.212,,0.109,0.043,,,,,,,0.438,0.117,,,,,,,,,0.268,,,0.23,,0.25,,0.89,0.026,0.752,0.33,0.706,0.35,0.0,0.0,,,,,,,,,,,
S515,,,,0.106,,0.32,,0.249,0.403,,,,,,,0.709,0.317,,,,,,,,,0.288,,,0.038,,0.698,,0.128,0.0,0.318,0.396,0.746,0.352,0.046,0.024,,,,,,,,,,,
S516,,,,0.0,,0.398,,0.409,0.397,,,,,,,0.596,0.272,,,,,,,,,0.312,,,0.0,,0.674,,0.0,0.0,0.206,0.642,0.522,0.738,0.17,0.0,,,,,,,,,,,
C337,,,,0.19,,0.354,,0.367,0.241,,,,,,,0.505,0.283,,,,,,,,,0.34,,,0.0,,0.798,,0.0,0.074,0.08,0.708,0.41,0.698,0.04,0.0,,,,,,,,,,,
S518,,,,,,0.648,,0.269,0.215,,,,,,,0.358,0.214,,,,,,,,,0.374,,,0.0,,0.0,,0.376,0.0,0.076,0.42,0.358,0.32,0.0,0.0,,,,,,,,,,,
S519,,,,0.0,,0.624,,0.254,0.295,,,,,,,0.449,0.202,,,,,,,,,0.078,,,0.064,,0.576,,0.054,0.0,0.068,0.636,0.68,0.578,0.0,0.0,,,,,,,,,,,
S520,,,,0.0,,0.478,,0.413,0.239,,,,,,,0.456,0.342,,,,,,,,,0.282,,,0.086,,0.61,,0.176,0.008,0.096,0.528,0.534,0.618,0.158,0.0,,,,,,,,,,,
S521,,,,0.074,,0.512,,0.74,0.234,,,,,,,0.356,0.446,,,,,,,,,0.26,,,0.036,,0.244,,0.534,0.0,0.386,0.524,0.884,0.272,0.0,0.0,,,,,,,,,,,
S523,,,,0.01,,0.79,,0.001,0.179,,,,,,,0.0,0.523,,,,,,,,,0.242,,,0.0,,0.83,,0.702,0.0,0.174,0.672,0.256,0.426,0.0,0.0,,,,,,,,,,,
