Sample_ID,Alisertib,Arsenic Trioxide,Axitinib,Azacitidine,Dasatinib,Doramapimod,Foretinib,GW-2580,Idelalisib,KI20227,Linifanib,Midostaurin,Motesanib,NVP-TAE684,Pazopanib,Quizartinib,Ruxolitinib,Sorafenib,Sunitinib,Vemurafenib,NF-kB Activation Inhibitor,Cabozantinib,Crizotinib,Cytarabine,Entospletinib,Ibrutinib,JQ1,Nutlin-3,Palbociclib,Panobinostat,Trametinib,Vandetanib,Venetoclax,Artemisinin,AT 101,Birabresib,Birinapant,Bortezomib,GSK2879552,Olaparib,AGI combo,Bosutinib,Nintedanib,Sirolimus,Vatalanib,Vismodegib,PH-797804,AZD5991,Dordaviprone,Telaglenastat,Decitabine
S347,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,0.14,0.0,,,,,,,,,,,,,,,,,
S348,0.012,,,,0.542,0.224,,,0.26,,,,,,,0.589,0.104,0.164,,0.0,,0.376,0.241,0.216,0.244,0.088,0.572,0.008,0.094,0.864,0.752,0.156,0.204,0.018,,,,,,,,,,,,,,,,,
S349,0.07,,,,0.373,0.368,,,0.333,,,,,,,0.476,0.364,0.024,,0.07,,0.332,0.341,0.196,0.406,0.264,0.442,0.0,0.202,0.6,0.3,0.228,0.424,0.0,,,,,,,,,,,,,,,,,
C522,,,,,,,,,,,,,,,,,,,,,,,,,,0.258,,,,,,,0.106,0.0,,,,,,,,,,,,,,,,,
S350,0.04,,,,0.607,0.242,,,0.444,,,,,,,0.4,0.167,0.115,,0.0,,0.406,0.182,0.108,0.296,0.2,0.542,0.054,0.0,0.886,0.756,0.0,0.244,0.0,,,,,,,,,,,,,,,,,
S595,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,0.07,0.032,,,,,,,,,,,,,,,,,
S351,0.148,,,,0.878,0.332,,,0.283,,,,,,,0.677,0.288,0.223,,0.321,,0.624,0.496,0.142,0.532,0.18,0.336,0.0,0.044,0.814,0.394,0.0,0.33,0.082,,,,,,,,,,,,,,,,,
S352,0.0,,,,0.417,0.184,,,0.274,,,,,,,0.508,0.077,0.153,,0.0,,0.268,0.234,0.116,0.208,0.03,0.256,0.048,0.056,0.822,0.372,0.064,0.172,0.0,,,,,,,,,,,,,,,,,
S353,0.04,,,,0.393,0.36,,,0.275,,,,,,,0.422,0.209,0.073,,0.089,,0.24,0.231,0.068,0.0,0.236,0.44,0.016,0.0,0.83,0.288,0.232,0.19,0.0,,,,,,,,,,,,,,,,,
C171,0.042,,,,0.355,0.294,,,0.319,,,,,,,0.531,0.231,0.209,,0.1,,0.378,0.363,0.038,0.376,0.258,0.264,0.072,0.082,,0.036,0.248,0.746,0.0,,,,,,,,,,,,,,,,,
S354,0.082,,,,0.64,0.57,,,0.479,,,,,,,0.706,0.128,0.296,,0.014,,0.41,0.231,0.354,0.418,0.198,0.512,0.088,0.018,0.918,0.666,0.402,0.116,0.0,,,,,,,,,,,,,,,,,
C172,0.026,,,,0.399,0.588,,,0.271,,,,,,,0.499,0.148,0.059,,0.0,,0.172,0.12,0.334,0.298,0.0,0.542,0.0,0.064,0.954,0.888,0.01,0.118,0.0,,,,,,,,,,,,,,,,,
S356,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,,,,,0.208,0.0,,,,,,,,,,,,,,,,,
S357,,,,,,,,,,,,,,,,,,,,,,,,,,0.358,,,,,,,0.81,0.022,,,,,,,,,,,,,,,,,
S358,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,0.012,0.0,,,,,,,,,,,,,,,,,
C175,0.014,,,,0.515,0.234,,,0.576,,,,,,,0.443,0.119,0.0,,0.0,,0.206,0.371,0.256,0.37,0.74,0.718,0.04,0.136,0.848,0.816,0.0,0.128,0.0,,,,,,,,,,,,,,,,,
C176,0.148,,,,0.517,0.842,,,0.469,,,,,,,0.46,0.231,0.271,,0.0,,0.384,0.44,0.122,0.39,0.292,0.572,0.142,0.278,0.932,0.848,0.006,0.0,0.0,,,,,,,,,,,,,,,,,
S360,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,0.368,0.0,,,,,,,,,,,,,,,,,
